Age,Department,DistanceFromHome,EducationField,Education,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,JobRole,AnnualIncome,StockOptionLevel,TrainingTimesLastYear,JobInvolvement,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition
41,Sales,1,Life Sciences,2,Female,Single,8,8,6,4,0,5,Travel_Rarely,Sales Executive,215748,0,0,3,2,Yes,11,3,2,4,1,Yes
49,Research & Development,8,Life Sciences,1,Male,Married,1,10,10,7,1,7,Travel_Frequently,Research Scientist,184680,1,3,2,2,No,23,4,3,2,3,No
37,Research & Development,2,Other,2,Male,Single,6,7,0,0,0,0,Travel_Rarely,Laboratory Technician,75240,0,3,2,1,Yes,15,3,4,3,3,Yes
33,Research & Development,3,Life Sciences,4,Female,Married,1,8,8,7,3,0,Travel_Frequently,Research Scientist,104724,0,3,3,1,Yes,11,3,4,3,3,No
27,Research & Development,2,Medical,1,Male,Married,9,6,2,2,2,2,Travel_Rarely,Laboratory Technician,124848,1,3,3,1,No,12,3,1,2,3,No
32,Research & Development,2,Life Sciences,2,Male,Single,0,8,7,7,3,6,Travel_Frequently,Laboratory Technician,110448,0,2,3,1,No,13,3,4,4,2,No
59,Research & Development,3,Medical,3,Female,Married,4,12,1,0,0,0,Travel_Rarely,Laboratory Technician,96120,3,3,4,1,Yes,20,4,3,1,2,No
30,Research & Development,24,Life Sciences,1,Male,Divorced,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,96948,1,2,3,1,No,22,4,4,3,3,No
38,Research & Development,23,Life Sciences,3,Male,Single,0,10,9,7,1,8,Travel_Frequently,Manufacturing Director,342936,0,2,2,3,No,21,4,4,3,3,No
36,Research & Development,27,Medical,3,Male,Married,6,17,7,7,7,7,Travel_Rarely,Healthcare Representative,188532,2,3,3,2,No,13,3,3,3,2,No
35,Research & Development,16,Medical,3,Male,Married,0,6,5,4,0,3,Travel_Rarely,Laboratory Technician,87336,1,5,4,1,No,13,3,1,2,3,No
29,Research & Development,15,Life Sciences,2,Female,Single,0,10,9,5,0,8,Travel_Rarely,Laboratory Technician,150948,0,3,2,2,Yes,12,3,4,3,3,No
31,Research & Development,26,Life Sciences,1,Male,Divorced,1,5,5,2,4,3,Travel_Rarely,Research Scientist,104796,1,1,3,1,No,17,3,1,3,2,No
34,Research & Development,19,Medical,2,Male,Divorced,0,3,2,2,1,2,Travel_Rarely,Laboratory Technician,95796,1,2,3,1,No,11,3,2,4,3,No
28,Research & Development,24,Life Sciences,3,Male,Single,5,6,4,2,0,3,Travel_Rarely,Laboratory Technician,73008,0,4,2,1,Yes,14,3,3,3,3,Yes
29,Research & Development,21,Life Sciences,4,Female,Divorced,1,10,10,9,8,8,Travel_Rarely,Manufacturing Director,359280,1,1,4,3,No,11,3,2,1,3,No
32,Research & Development,5,Life Sciences,2,Male,Divorced,0,7,6,2,0,5,Travel_Rarely,Research Scientist,118728,2,5,4,1,Yes,12,3,1,2,2,No
22,Research & Development,16,Medical,2,Male,Divorced,1,1,1,0,0,0,Non-Travel,Laboratory Technician,105660,2,2,4,1,Yes,13,3,4,4,2,No
53,Sales,2,Life Sciences,4,Female,Married,2,31,25,8,3,7,Travel_Rarely,Manager,555372,0,3,2,4,No,16,3,1,4,3,No
38,Research & Development,2,Life Sciences,3,Male,Single,5,6,3,2,1,2,Travel_Rarely,Research Scientist,141984,0,3,3,1,Yes,11,3,4,4,3,No
24,Research & Development,11,Other,2,Female,Divorced,0,5,4,2,1,3,Non-Travel,Manufacturing Director,144396,1,5,4,2,No,18,3,1,3,2,No
36,Sales,9,Life Sciences,4,Male,Single,7,10,5,3,0,3,Travel_Rarely,Sales Representative,122652,0,4,2,1,No,23,4,3,1,3,Yes
34,Research & Development,7,Life Sciences,4,Female,Single,0,13,12,6,2,11,Travel_Rarely,Research Director,431784,0,4,3,3,No,11,3,1,2,3,No
21,Research & Development,15,Life Sciences,2,Male,Single,1,0,0,0,0,0,Travel_Rarely,Research Scientist,44352,0,6,3,1,No,14,3,3,4,3,No
34,Research & Development,6,Medical,1,Male,Single,2,8,4,2,1,3,Travel_Rarely,Research Scientist,106560,0,2,3,1,No,11,3,2,1,3,Yes
53,Research & Development,5,Other,3,Female,Divorced,4,26,14,13,4,8,Travel_Rarely,Manager,687384,1,3,3,5,No,11,3,3,3,2,No
32,Research & Development,16,Life Sciences,1,Female,Single,1,10,10,2,6,7,Travel_Frequently,Research Scientist,141084,0,5,1,1,Yes,22,4,2,1,3,Yes
42,Sales,8,Marketing,4,Male,Married,0,10,9,7,4,2,Travel_Rarely,Sales Executive,245700,1,2,3,2,No,11,3,3,2,3,No
44,Research & Development,7,Medical,4,Female,Married,3,24,22,6,5,17,Travel_Rarely,Healthcare Representative,368928,1,4,2,3,No,14,3,1,4,3,No
46,Sales,2,Marketing,4,Female,Single,3,22,2,2,2,1,Travel_Rarely,Manager,682092,0,2,3,5,No,12,3,2,1,2,No
33,Research & Development,2,Medical,3,Male,Single,4,7,1,1,0,0,Travel_Rarely,Laboratory Technician,89856,0,3,3,1,No,11,3,3,4,3,No
44,Research & Development,10,Other,4,Male,Married,2,9,4,2,1,3,Travel_Rarely,Healthcare Representative,232740,0,5,3,2,Yes,13,3,4,4,4,No
30,Research & Development,9,Medical,2,Male,Single,1,10,10,0,1,8,Travel_Rarely,Laboratory Technician,79416,0,5,2,1,No,13,3,4,3,3,No
39,Sales,5,Technical Degree,3,Male,Married,3,19,1,0,0,0,Travel_Rarely,Sales Representative,75096,1,6,3,2,No,14,3,4,4,4,Yes
24,Research & Development,1,Medical,3,Male,Married,2,6,2,0,2,0,Travel_Rarely,Research Scientist,82548,1,2,3,1,Yes,16,3,2,4,2,Yes
43,Research & Development,2,Medical,2,Female,Divorced,1,6,5,3,1,4,Travel_Rarely,Research Scientist,95220,2,3,4,1,No,12,3,4,3,2,No
50,Sales,3,Marketing,2,Male,Married,1,3,3,2,0,2,Travel_Rarely,Sales Representative,96588,0,2,2,1,Yes,14,3,1,3,3,Yes
35,Sales,2,Marketing,3,Female,Married,1,2,2,2,2,2,Travel_Rarely,Sales Representative,72504,0,3,3,1,No,13,3,4,4,3,No
36,Research & Development,5,Life Sciences,4,Female,Married,9,6,1,1,0,0,Travel_Rarely,Research Scientist,123084,1,3,2,1,Yes,14,3,2,1,4,No
33,Sales,1,Life Sciences,3,Female,Married,2,10,5,3,1,3,Travel_Frequently,Sales Executive,193536,2,3,4,2,No,19,3,3,1,3,No
35,Research & Development,4,Other,2,Male,Divorced,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,70236,1,3,3,1,No,12,3,3,4,3,No
27,Research & Development,2,Life Sciences,4,Female,Divorced,1,1,1,0,0,0,Travel_Rarely,Laboratory Technician,84276,1,6,3,1,No,13,3,4,1,3,No
26,Research & Development,25,Life Sciences,3,Male,Single,1,1,1,0,0,1,Travel_Rarely,Laboratory Technician,82548,0,2,1,1,No,12,3,1,3,2,Yes
27,Sales,8,Life Sciences,3,Male,Single,1,9,9,8,1,7,Travel_Frequently,Sales Executive,314136,0,0,3,3,No,15,3,4,3,3,No
